title,runtime,des,date,genre,cast,director,vote,gross,rating
The Zero Theorem,107,"    A hugely talented but socially isolated computer operator is tasked by Management to prove the Zero Theorem: that the universe ends as nothing, rendering life meaningless. But meaning is what he already craves.",2013,"Comedy, Drama, Fantasy            ","Christoph Waltz, Lucas Hedges, Mélanie Thierry, David Thewlis",Terry Gilliam,43275,$0.22M,6.1
The Green Hornet,119,"    Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team.",2011,"Action, Comedy, Crime            ","Seth Rogen, Jay Chou, Christoph Waltz, Cameron Diaz",Michel Gondry,150632,$98.78M,5.8
Magic Mike XXL,115,"    Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",2015,"Comedy, Drama, Music            ","Channing Tatum, Joe Manganiello, Matt Bomer, Adam Rodriguez",Gregory Jacobs,49575,$66.01M,5.6
Dope,103,"    Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure.",2015,"Comedy, Crime, Drama            ","Shameik Moore, Tony Revolori, Kiersey Clemons, Kimberly Elise",Rick Famuyiwa,77938,$17.47M,7.2
Naughty & Nice,88,"    A cynical radio host is banished to Colorado, where he has an on-air spat with a hopeless romantic. Soon, their antagonistic relationship sparks the interest of the whole town.",2014,"Comedy, Romance            ","Haylie Duff, Tilky Jones, Maureen McCormick, Eric Petersen",Sam Irvin,1133,,6.0
Last Week Tonight with John Oliver,30,    Former Daily Show host and correspondent John Oliver brings his persona to this new weekly news satire program.,2014,"Comedy, News, Talk-Show            ","John Oliver, David Kaye, Ryan Barger, Noel MacNeal",,71756,,8.9
Andi Mack,25,"    A contemporary coming-of-age story about a girl who's trying to determine where she fits in, when her free-spirited older sister returns with a revelation that changes everything, it sends Andi on an uncharted course of self-discovery.",2019,"Comedy, Family            ","Peyton Elizabeth Lee, Joshua Rush, Sofia Wylie, Asher Angel",,1711,,7.3
Something Borrowed,112,"    Friendships are tested and secrets come to the surface when terminally single Rachel falls for Dex, her best friend Darcy's fiancé.",2011,"Comedy, Drama, Romance            ","Ginnifer Goodwin, Kate Hudson, Colin Egglesfield, John Krasinski",Luke Greenfield,55410,$39.05M,5.9
Austin & Ally,30,"    Following the lives of Austin, an aspiring confident musician, Ally, a quiet talented songwriter and their two friends.",2016,"Comedy, Family, Music            ","Ross Lynch, Laura Marano, Raini Rodriguez, Calum Worthy",,8393,,5.9
My Christmas Dream,82,"    An ambitious store manager of a renowned retail flagship store must enlist the help of a struggling, single-father handyman to help her realize her dream of managing the company's first international store.",2016,"Comedy, Romance            ","Danica McKellar, David Haydn-Jones, Christine Lee, Deidre Hall",James Head,1490,,6.3
Safety Not Guaranteed,86,    Three magazine employees head out on an assignment to interview a guy who placed a classified advertisement seeking a companion for time travel.,2012,"Comedy, Drama, Romance            ","Aubrey Plaza, Mark Duplass, Jake Johnson, Karan Soni",Colin Trevorrow,113735,$4.01M,7.0
Carnage,80,"    Two pairs of parents hold a cordial meeting after their sons are involved in a fight, though as their time together progresses, increasingly childish behavior throws the discussion into chaos.",2011,"Comedy, Drama            ","Jodie Foster, Kate Winslet, Christoph Waltz, John C. Reilly",Roman Polanski,113973,$2.55M,7.2
Dear White People,30,"    At a predominantly white Ivy League college, a group of black students navigate various forms of racial and other types of discrimination.",2017,"Comedy, Drama            ","Logan Browning, Brandon P Bell, DeRon Horton, Antoinette Robertson",,20057,,6.2
Shake It Up,30,    Two Chicago teens attempt to realize their dream of becoming professional dancers by landing spots on a popular local show.,2013,"Comedy, Family            ","Bella Thorne, Zendaya, Davis Cleveland, Roshon Fegan",,10717,,4.8
The Loud House,22,"    Lincoln Loud is an eleven-year-old boy who lives with ten sisters. With the help of his right-hand man Clyde, Lincoln finds new ways to survive in such a large family every day.",2016,"Animation, Short, Action            ","Grey Griffin, Jessica DiCicco, Catherine Taber, Lara Jill Miller",,2907,,7.3
Last Flag Flying,125,"    Thirty years after they served together in Vietnam, a former Navy Corpsman Larry ""Doc"" Shepherd re-unites with his old buddies, former Marines Sal Nealon and Reverend Richard Mueller, to bury his son, a young Marine killed in the Iraq War.",2017,"Comedy, Drama, War            ","Bryan Cranston, Laurence Fishburne, Steve Carell, J. Quinton Johnson",Richard Linklater,20269,$0.97M,6.9
The Lego Ninjago Movie,101,"    Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",2017,"Animation, Action, Adventure            ","Jackie Chan, Dave Franco, Fred Armisen, Kumail Nanjiani","Charlie Bean, Paul Fisher, Bob Logan",20449,$59.28M,6.0
Girlfriends' Guide to Divorce,60,    Follows a best-selling author of a self-help book series who hides her recent separation as she starts to navigate her life as a single woman in her 40s in Los Angeles.,2018,"Comedy, Drama            ","Lisa Edelstein, Beau Garrett, Necar Zadegan, Alanna Ubach",,3599,,6.9
Last Vegas,105,    Four friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal.,2013,"Comedy, Drama            ","Robert De Niro, Michael Douglas, Morgan Freeman, Kevin Kline",Jon Turteltaub,123526,$63.91M,6.6
My Christmas Prince,85,"    Samantha, a teacher, returns to her hometown for Christmas, where she is joined by her boyfriend, Alex. When she learns Alex is the crown prince of Madelvia, she must decide if she loves Alex enough to stop teaching and become a royal.",2017,"Comedy, Drama, Family            ","Alexis Knapp, Callum Alexander, Pamela Sue Martin, Parker Stevenson",Sam Irvin,726,,5.2
Fifty Shades of Black,92,    An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.,2016,Comedy            ,"Marlon Wayans, Kali Hawk, Fred Willard, Mike Epps",Michael Tiddes,18129,$11.68M,3.5
Red Oaks,30,"    A coming-of-age comedy set in the ""go-go"" 80s about a college student enjoying a last hurrah before summer comes to an end--and the future begins.",2017,"Comedy, Drama, Sport            ","Craig Roberts, Ennis Esmer, Oliver Cooper, Richard Kind",,8466,,7.9
The Detour,30,"    A contemporary father takes his family on a road trip across America, but a set of crazy, unforeseen circumstances causes them to end up on the run from the FBI.",2019,"Adventure, Comedy            ","Jason Jones, Natalie Zea, Ashley Gerasimovich, Liam Carroll",,5477,,7.7
Private Life,123,"    An author is undergoing multiple fertility therapies to get pregnant, putting her relationship with her husband on edge.",2018,"Comedy, Drama            ","Kathryn Hahn, Paul Giamatti, Gabrielle Reid, Amy Russ",Tamara Jenkins,12093,,7.3
A Puppy for Christmas,85,"    After adopting a cute puppy, Noelle's world is turned upside down when her boyfriend breaks up with her. After accepting an invitation to spend the holidays with a co-worker, she is ...                See full summary »",2016,"Comedy, Drama, Romance            ","Cindy Busby, Greyston Holt, Christopher Russell, Allison Price","Justin G. Dyck, Myles Milne",611,,6.0
No Offence,42,"    Follows a group of police officers on the front line wondering what they did to end up where they are now, on the ugly side of Manchester.",2015,"Comedy, Crime, Drama            ","Joanna Scanlan, Elaine Cassidy, Will Mellor, Paul Ritter",,3702,,8.0
Two Night Stand,86,    A snowstorm forces two people who made an online connection to unwillingly extend their one-night stand as the blizzard goes through the night.,2014,"Comedy, Romance            ","Miles Teller, Analeigh Tipton, Jessica Szohr, Kid Cudi",Max Nichols,62209,$0.02M,6.4
Funny Cow,102,"    A comedian uses her troubled past as material for her stand-up routine, trying to rise up through the comedy circuit by playing Northern England's working men's clubs.",2017,"Comedy, Drama            ","Maxine Peake, Macy Shackleton, Ashton Steele, Michael Hughes",Adrian Shergold,1211,,6.5
Morning Glory,107,    An upstart television producer accepts the challenge of reviving a struggling morning show program with warring co-hosts.,2010,"Comedy, Drama, Romance            ","Rachel McAdams, Harrison Ford, Diane Keaton, Noah Bean",Roger Michell,69337,$31.01M,6.5
The Monuments Men,118,    An unlikely World War II platoon is tasked to rescue art masterpieces from Nazi thieves and return them to their owners.,2014,"Comedy, Drama, History            ","George Clooney, Matt Damon, Bill Murray, Cate Blanchett",George Clooney,119724,$78.03M,6.1
High Maintenance,30,    A comedy that explores the private lives of unique New York individuals through a common thread: their weed deliveryman.,2016,"Comedy, Drama            ","Ben Sinclair, Kate Lyn Sheil, Britt Lower, Abdullah Saeed",,5176,,8.0
Paradise PD,28,"    Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders.",2018,"Animation, Comedy, Crime            ","Sarah Chalke, David Herman, Tom Kenny, Kyle Kinane",,9469,,7.0
Key and Peele,30,    Project sees Keegan-Michael Key and Jordan Peele in front of a live studio audience bantering about a topic weaved between filmed shorts and sketches.,2015,"Action, Adventure, Comedy            ","Keegan-Michael Key, Jordan Peele, Metta World Peace, Matt Wheeler",,15325,,8.3
Pride,119,    U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,2014,"Biography, Comedy, Drama            ","Bill Nighy, Imelda Staunton, Dominic West, Paddy Considine",Matthew Warchus,48073,,7.8
Undateable,22,"    A womanizer helps his sister, a bar owning roomie and his 3 friends with well needed dating advice.",2016,Comedy            ,"Chris D'Elia, Brent Morin, Bianca Kajlich, Ron Funches",,8084,,7.3
Plebs,25,"    PLEBS follows three desperate young men from the suburbs as they try to get laid, hold down jobs, and climb the social ladder in the big city - a city that happens to be Ancient Rome.",2013,Comedy            ,"Tom Rosenthal, Ryan Sampson, Tom Basden, Karl Theobald",,6020,,7.9
Man Down,30,"    Dan (Davies) is a childish idiot trapped in an adult's life, helped along by his uniquely dysfunctional best friends, Jo (Conaty) and Brian (Wozniak). His inability to navigate the simplest...                See full summary »",2013,Comedy            ,"Greg Davies, Roisin Conaty, Mike Wozniak, Gwyneth Powell",,2150,,7.6
Stuck in Love.,97,"    An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",2012,"Comedy, Drama, Romance            ","Greg Kinnear, Jennifer Connelly, Lily Collins, Nat Wolff",Josh Boone,80219,$0.08M,7.2
True Memoirs of an International Assassin,98,"    After a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own survival.",2016,"Action, Comedy, Crime            ","Kevin James, Kim Coates, Maurice Compte, Zulay Henao",Jeff Wadlow,18167,,5.9
The Smurfs,103,"    When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.",2011,"Adventure, Comedy, Family            ","Hank Azaria, Katy Perry, Jonathan Winters, Neil Patrick Harris",Raja Gosnell,79488,$142.61M,5.4
I Give It a Year,97,"    Newlywed couple Nat and Josh are deliriously happy despite their differences, though friends and family aren't convinced that they can last. With their first anniversary approaching and attractive alternatives in the mix, can they last?",2013,"Comedy, Romance            ","Rose Byrne, Rafe Spall, Alex Macqueen, Stephen Merchant",Dan Mazer,34525,$0.03M,5.7
Barely Lethal,96,"    A teenage special ops agent coveting a ""normal"" adolescence fakes her own death and enrolls in a suburban high school. She quickly learns that surviving the treacherous waters of high school is more challenging than international espionage.",2015,"Action, Adventure, Comedy            ","Jaime King, Samuel L. Jackson, Madeleine Stack, Eva G. Cooper",Kyle Newman,18293,,5.4
