title,runtime,des,date,rating,genre
"Crazy, Stupid, Love.",118,"    A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",2011,7.4,"Comedy, Drama, Romance            "
Last Man Standing,30,    A married father of three tries to maintain his manliness in a world increasingly dominated by women.,2011,7.6,Comedy            
"Three Billboards Outside Ebbing, Missouri",115,    A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,2017,8.2,"Comedy, Crime, Drama            "
Barry,30,    A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.,2018,8.3,"Action, Comedy, Crime            "
Kingsman: The Secret Service,129,"    A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",2014,7.7,"Action, Adventure, Comedy            "
Get Shorty,60,    The adventures of a mobster-turned-movie producer in Hollywood. TV show based on Elmore Leonard's novel and subsequent film.,2017,8.1,"Comedy, Crime            "
Workin' Moms,30,"    Four very different thirty-something working mothers and friends try to balance their jobs, family life and love life in modern day Toronto, Canada.",2017,7.3,Comedy            
Fuller House,30,"    In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller.",2016,6.8,"Comedy, Family            "
The Big Short,130,    In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,2015,7.8,"Biography, Comedy, Drama            "
Monsters University,104,    A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.,2013,7.3,"Animation, Adventure, Comedy            "
Game Night,100,    A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.,2018,6.9,"Action, Comedy, Crime            "
The Grand Budapest Hotel,99,"    The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",2014,8.1,"Adventure, Comedy, Crime            "
Ballers,30,"    A series centered around a group of football players and their families, friends and handlers.",2019,7.6,"Comedy, Drama, Sport            "
GLOW,35,    A look at the personal and professional lives of a group of women who perform for a wrestling organization in Los Angeles during the 1980s.,2017,8.0,"Comedy, Drama, Sport            "
Lady Bird,94,"    In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.",2017,7.4,"Comedy, Drama            "
Gravity Falls,23,"    Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",2016,8.9,"Animation, Action, Adventure            "
Ant-Man,117,"    Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",2015,7.3,"Action, Adventure, Comedy            "
La La Land,128,"    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",2016,8.0,"Comedy, Drama, Music            "
Pitch Perfect,112,"    Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",2012,7.2,"Comedy, Music, Romance            "
The Ballad of Buster Scruggs,133,"    Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.",2018,7.3,"Comedy, Drama, Musical            "
iZombie,42,"    A medical resident finds that being a zombie has its perks, which she uses to assist the police.",2019,7.9,"Comedy, Crime, Drama            "
DuckTales,21,"    The comedy-adventure series chronicles the high-flying adventures of trillionaire Scrooge McDuck, his grandnephews - Huey, Dewey, and Louie - and temperamental nephew Donald Duck, Launchpad McQuack, Mrs. Beakley, and her granddaughter Webby.",2017,8.2,"Animation, Action, Adventure            "
Birdman or (The Unexpected Virtue of Ignorance),119,"    A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",2014,7.7,"Comedy, Drama            "
Brave,93,"    Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",2012,7.1,"Animation, Adventure, Comedy            "
Teenage Mutant Ninja Turtles: Out of the Shadows,112,"    The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang.",2016,6.0,"Action, Adventure, Comedy            "
American Housewife,30,"    A family comedy narrated by Katie, a strong-willed mother, raising her flawed family in a wealthy town filled with perfect wives and their perfect offspring.",2016,7.3,Comedy            
Ocean's 8,110,    Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,2018,6.2,"Action, Comedy, Crime            "
Hit and Run,100,    Former getaway driver Charles Bronson jeopardizes his Witness Protection Plan identity in order to help his girlfriend get to Los Angeles. The feds and Charles' former gang chase them on the road.,2012,6.1,"Action, Comedy            "
The Lobster,119,"    In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",2015,7.1,"Comedy, Drama, Romance            "
About Time,123,"    At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",2013,7.8,"Comedy, Drama, Fantasy            "
One Punch Man,24,"    The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",2015,8.9,"Animation, Action, Comedy            "
The Incredibles 2,118,"    The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.",2018,7.7,"Animation, Action, Adventure            "
Lethal Weapon,44,    A slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life.,2019,7.9,"Action, Comedy, Crime            "
Easy,30,"    Intertwined groups of friends in Chicago fumble through the modern maze of love, sex, technology and culture.",2016,6.8,Comedy            
Single Parents,30,    A group of single parents form their own support system as they raise their kids and struggle to start new relationships.,2018,6.9,Comedy            
The Babysitter,85,    The events of one evening take an unexpected turn for the worst for a young boy trying to spy on his babysitter.,2017,6.3,"Comedy, Horror            "
