title,runtime,des,date,genre,cast,director,vote,gross,rating
The Saga of Biorn,7,"    An old Viking is determined to reach Valhalla, the warrior's afterlife full of excessive drinking and debauchery. To gain entry he has to die honorably in battle, but he discovers that the right death isn't so easy.",2011,"Animation, Short, Action            ","Phillip Sacramento, Alberte Thorning Agerskov, Jack E. Sovtar",,471,,7.5
Altered Spirits,90,    Four young people are pulled into an alternate dimension through a portal in a sweat lodge. On the other side four murderous spirits of centuries-old gold hunters await to steal the young peoples' bodies and return to the living world.,2016,"Action, Sci-Fi            ","Stephen Weese, Cristina Valenzuela, Richard Epcar, Gregory Crafts",Peter Bohush,55,,4.7
Piranha,12,"    Haunted by visions of chasing rioters, a junior banker tries to make it safely to the central business district for his first day at work, but little does he know the greatest danger facing him is not from the rioters.",2014,"Short, Action, Drama            ","Sid Phoenix, Stephen T Box, Ruggero Dalla Santa, Alesya Orlova",Elcid Asaei,72,,8.7
Fragmented Skin,0,    A film seen in drug fueled violent flashbacks and adult premonitions.a strangely distorted descent into total madness.,2016,"Action, Crime            ","Debs Deeper, Paul T.T. Easter, Lola Gatsby, Sonia Moydra",Paul T.T. Easter,85,,2.8
The Best Movie Ever 4ever,0,"    After years of protecting our freedoms, Velasquez and Dutch are back for one last mission. This time, the fate of the very Agency they serve is at stake.",2018,Action            ,"Erik Barnhart Jr., Erik A. Barnhart, Joshua Barnhart, Dan Dressel","Chris Ramos, Chris Woods",0,,0.0
Black,90,    A covert team is formed after a direct attack against the CIA on American Soil.,2013,Action            ,"Mikal Vega, Mark Golden, Andre Jackson, Konstantin Khrustov",,56,,7.9
The Blood Bond,86,"A world-renowned spiritual leader arrives in the Asian nation of Purma to give a teaching to the faithful. Accompanying him is a retinue of monks and attendants, including his personal bodyguard, Deva, a beautiful Eurasian girl with extraordinary physical prowess. As soon as Bagwun and his party reach their hotel, they are attacked by assassins from a rebel terrorist group. Wounded, Bagwun needs to undergo a life-saving operation within twelve hours. However, his blood type is so rare that only a few donors can be found who can reach the capital in time to help. Rebel leader Lompoc obtains the same information, and has his agents kill off the donors one-by-one. Deva gets information about a possible 7th donor in a remote village in the North, and she decides to brave the dangerous journey alone into the guerrilla-held badlands. There, she finds the last possible donor whose blood can save Bagwun: a drunken, embittered former Special Forces operative named John Tremayne.",2011,"Action, Thriller            ","Michael Biehn, Phoenix Chou, Simon Yam, Emma Pei","Michael Biehn, Antony Szeto",228,,3.2
The Commissioning,1,    The Commissioning is a live-action trailer for Halo 4.,2012,"Short, Action            ",Mark Rolston,Nicolai Fuglsig,0,,0.0
Wild Child II,3,    Olympic Bronze Medalist and retired Professional Boxer Chris Sande teams up with Sorina a down on her luck woman seeking retribution.,2015,"Short, Action            ","Stefanja Orlowska, Chris Sande",Patrick Koo,0,,0.0
Batman: Arkham City Lockdown,0,    There is a big surprise for Gotham City it's up to The Dark Knight to stop it all.,2011,"Action, Adventure, Crime            ","Kevin Conroy, Mark Hamill, Tara Strong, Fred Tatasciore",Ed Boon,117,,7.3
Lone Wolves,87,"After an apocalypse of questionable origin, Private James Conroy is living in an abandoned shack at the base of a radio tower. When Conroy finally contacts Garry Freeman, marooned in a space station, they have to learn to work together if they're going to save themselves, and maybe all of civilization.",2016,"Action, Sci-Fi            ","David Leeming, Warren Otteraa, Dan Purdey, Alana Tranter",Christopher Jacobs,158,,2.0
Mario Warfare,0,Add a Plot,2012,"Action, Comedy            ","Alena Koch, Ted Nguyen, James Couche, Andrew Comstock",,80,,8.2
Black Salt,30,"    With time winding down towards world-ending devastation, the fate of mankind rests in the hands of Interpol agent Samuel Tharpe.",2015,"Short, Action            ","Michelle Lee, Ron Yuan, James Lew, Chris Jai Alex",Ben Ramsey,35,,6.1
Overwatch: Rise and Shine,10,"Mei wakes up years from a Deep Freeze Sleep to find that Overwatch has been disbanded, the world is completely different than the one she use to know. Mei is the last surviving scientist at Ecopoint: Antarctica. With limited resources and time, Mei must use science to figure out a way to get help to Survive.",2017,"Animation, Short, Action            ","Thomas Bromhead, Crispin Freeman, Zhang Yu",Ben Dai,96,,7.6
