title,runtime,des,date,rating,genre
Battleship,131,    A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,2012,5.8,"Action, Adventure, Sci-Fi            "
Untitled Indiana Jones Project,131,    The plot is said to be based on one of the other books in the series.,2021,0,"Action, Adventure            "
Road House,114,    A tough bouncer is hired to tame a dirty bar.,1989,6.6,"Action, Thriller            "
Transformers: Age of Extinction,165,"    When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.",2014,5.6,"Action, Adventure, Sci-Fi            "
The Next Three Days,133,    A married couple's life is turned upside down when the wife is accused of a murder.,2010,7.4,"Action, Crime, Drama            "
Six,60,    Navy SEAL Team Six attempt to eliminate a Taliban leader in Afghanistan when they discover an American citizen working with the enemy.,2018,7.3,"Action, Drama, History            "
The Italian Job,111,"    After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.",2003,7.0,"Action, Crime, Thriller            "
xXx,124,"    An extreme sports athlete, Xander Cage, is recruited by the government on a special mission.",2002,5.9,"Action, Adventure, Thriller            "
Underworld,121,"    Selene, a vampire warrior, is entrenched in a conflict between vampires and werewolves, while falling in love with Michael, a human who is sought by werewolves for unknown reasons.",2003,7.0,"Action, Fantasy, Thriller            "
Star Wars: Clone Wars,133,    The events and battles of the Galactic Republic's last major war are recounted.,2005,7.8,"Animation, Short, Action            "
Planet of the Apes,119,"    In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",2001,5.7,"Action, Adventure, Sci-Fi            "
The Lost World: Jurassic Park,129,"    A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.",1997,6.6,"Action, Adventure, Sci-Fi            "
Mission: Impossible II,123,"    I.M.F. Agent Ethan Hunt (Tom Cruise) is sent to Sydney, Australia to find and destroy a genetically modified disease called ""Chimera"".",2000,6.1,"Action, Adventure, Thriller            "
RED,111,"    When his peaceful life is threatened by a high-tech assassin, former black-ops Agent Frank Moses (Bruce Willis) reassembles his old team in a last ditch effort to survive and uncover his assailants.",2010,7.0,"Action, Comedy, Crime            "
Krypton,45,    The untold story of Superman's grandfather as he fights for justice on his home planet.,2019,7.0,"Action, Adventure, Drama            "
The Adventures of Tintin,107,    Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,2011,7.3,"Animation, Action, Adventure            "
Dragon Ball Z,24,"    After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.",2003,8.7,"Animation, Action, Adventure            "
Equilibrium,107,"    In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.",2002,7.4,"Action, Drama, Sci-Fi            "
Layer Cake,105,    A successful cocaine dealer gets two tough assignments from his boss on the eve of his planned early retirement.,2004,7.3,"Action, Crime, Drama            "
Hansel & Gretel: Witch Hunters,88,"    Hansel & Gretel are bounty hunters who track and kill witches all over the world. As the fabled Blood Moon approaches, the siblings encounter a new form of evil that might hold a secret to their past.",2013,6.1,"Action, Fantasy, Horror            "
The Tick,29,"    In a world where superheroes have been real for decades, an accountant with no superpowers comes to realize his city is owned by a super villain. As he struggles to uncover this conspiracy, he falls in league with a strange blue superhero.",2019,7.4,"Action, Adventure, Comedy            "
Lethal Weapon,109,    Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,1987,7.6,"Action, Crime, Thriller            "
Blade,120,"    A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",1998,7.1,"Action, Horror, Sci-Fi            "
The Wonderful World of Disney,120,    Experience the magic and adventure from Walt Disney world of color,2019,7.5,"Action, Adventure, Comedy            "
