title,runtime,des,date,genre,cast,director,vote,gross,rating
Wreck-It Ralph,101,"    A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",2012,"Animation, Adventure, Comedy            ","John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman",Rich Moore,357062,$189.42M,7.7
Olaf's Frozen Adventure,22,"    A Christmas-themed special featuring characters from Walt Disney Pictures' 53rd full-length animated motion picture, ""Frozen (2013)"".",2017,"Animation, Short, Adventure            ","Josh Gad, Idina Menzel, Kristen Bell, Jonathan Groff","Directors:Kevin Deters, Stevie Wermers",10057,,5.4
F Is for Family,30,"    Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",2015,"Animation, Comedy, Drama            ","Bill Burr, Laura Dern, Justin Long, Debi Derryberry",,23439,,8.0
Isle of Dogs,101,"    Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",2018,"Animation, Adventure, Comedy            ","Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban",Wes Anderson,119053,$32.02M,7.9
Cars 3,102,    Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,2017,"Animation, Adventure, Comedy            ","Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion",Brian Fee,64635,$152.90M,6.7
Monsters University,104,"    A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",2013,"Animation, Adventure, Comedy            ","Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",Dan Scanlon,301529,$268.49M,7.3
Turbo,96,    A freak accident might just help an everyday garden snail achieve his biggest dream: winning the Indy 500.,2013,"Animation, Adventure, Comedy            ","Ryan Reynolds, Paul Giamatti, Maya Rudolph, Samuel L. Jackson",David Soren,77408,$83.03M,6.4
The Adventures of Tintin,107,    Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,2011,"Animation, Action, Adventure            ","Jamie Bell, Andy Serkis, Daniel Craig, Simon Pegg",Steven Spielberg,206493,$77.59M,7.3
Trolls,92,"    After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",2016,"Animation, Adventure, Comedy            ","Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse","Directors:Mike Mitchell, Walt Dohrn",65286,$153.71M,6.5
The Lego Movie,100,"    An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",2014,"Animation, Action, Adventure            ","Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett","Directors:Phil Lord, Christopher Miller",310978,$257.76M,7.8
Finding Dory,97,"    Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",2016,"Animation, Adventure, Comedy            ","Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson","Directors:Andrew Stanton, Angus MacLane",221735,$486.30M,7.3
Peter Rabbit,95,    Feature adaptation of Beatrix Potter's classic tale of a rebellious rabbit trying to sneak into a farmer's vegetable garden.,2018,"Animation, Adventure, Comedy            ","James Corden, Fayssal Bazzi, Domhnall Gleeson, Sia",Will Gluck,30052,$115.25M,6.5
Star Wars: Forces of Destiny,3,    Small moments and everyday decisions shape a larger heroic saga.,2017,"Animation, Adventure, Family            ","Lupita Nyong'o, Ashley Eckstein, Shelby Young, Daisy Ridley",,1026,,5.0
The Croods,98,"    After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.",2013,"Animation, Action, Adventure            ","Nicolas Cage, Ryan Reynolds, Emma Stone, Catherine Keener","Directors:Kirk DeMicco, Chris Sanders",181138,$187.17M,7.2
Smallfoot,96,"    A Yeti is convinced that the elusive creatures known as ""humans"" really do exist.",2018,"Animation, Adventure, Comedy            ","Channing Tatum, James Corden, Zendaya, Common","Directors:Karey Kirkpatrick, Jason Reisig",27957,$83.24M,6.6
The Amazing World of Gumball,11,    The life of a twelve-year-old boy who happens to be a blue cat as he lives with his family and other strange creatures.,2019,"Animation, Short, Adventure            ","Dan Russell, Teresa Gallagher, Kyla Rae Kowalewski, Jacob Hopkins",,17646,,8.1
Young Justice,23,    Teenage superheroes strive to prove themselves as members of the Justice League.,2010,"Animation, Action, Adventure            ","Jesse McCartney, Danica McKellar, Nolan North, Khary Payton",,28934,,8.7
Madagascar 3: Europe's Most Wanted,93,"    The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal control officer.",2012,"Animation, Adventure, Comedy            ","Ben Stiller, Jada Pinkett Smith, Chris Rock, David Schwimmer","Directors:Eric Darnell, Tom McGrath, Conrad Vernon",152166,$216.39M,6.8
The Lego Batman Movie,104,"    A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",2017,"Animation, Action, Comedy            ","Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes",Chris McKay,121929,$175.75M,7.3
How to Train Your Dragon 2,102,"    When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",2014,"Animation, Action, Adventure            ","Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",Dean DeBlois,287546,$177.00M,7.8
Rango,107,"    Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",2011,"Animation, Adventure, Comedy            ","Johnny Depp, Isla Fisher, Timothy Olyphant, Abigail Breslin",Gore Verbinski,221779,$123.48M,7.2
The Secret Life of Pets,87,"    The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",2016,"Animation, Adventure, Comedy            ","Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell","Directors:Chris Renaud, Yarrow Cheney",171263,$368.38M,6.5
Boruto: Naruto Next Generations,23,"    Unlike Naruto, Boruto is about a son who's living his life along his friend, avoiding being in his father's shadow. He has adventures in younger version, in school, revealing new abilities.",2017,"Animation, Action, Adventure            ","Yûko Sanpei, Kokoro Kikuchi, Kenshô Ono, Ryûichi Kijima",,5275,,7.2
High School DxD,23,"    After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils.",2012,"Animation, Action, Comedy            ","Jamie Marchi, Yûki Kaji, Azumi Asakura, Yôko Hikasa",,5311,,7.7
The Good Dinosaur,93,"    In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.",2015,"Animation, Adventure, Comedy            ","Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple",Peter Sohn,94394,$123.09M,6.7
Hotel Transylvania 3: Summer Vacation,97,"    Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",2018,"Animation, Adventure, Comedy            ","Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",Genndy Tartakovsky,47536,$167.51M,6.3
Kung Fu Panda 3,95,"    Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.",2016,"Animation, Action, Adventure            ","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie","Directors:Alessandro Carloni, Jennifer Yuh Nelson",122060,$143.53M,7.1
PAW Patrol,23,"    Led by a boy named Ryder, a team of six playful rescue dogs use their individual talents to protect the seaside town of Adventure Bay. The pups are occasionally joined by newer helpers: Cap'n Turbot, Robo-Dog, Everest, and Tracker.",2013,"Animation, Action, Adventure            ","Kallan Holley, Devan Cohen, Ron Pardo, Samuel Faraci",,1658,,6.4
Megamind,95,"    The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",2010,"Animation, Action, Comedy            ","Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey",Tom McGrath,214015,$148.42M,7.2
The Lorax,86,"    A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",2012,"Animation, Adventure, Drama            ","Zac Efron, Taylor Swift, Danny DeVito, Ed Helms","Directors:Chris Renaud, Kyle Balda",92379,$214.03M,6.4
The Emoji Movie,86,"    Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",2017,"Animation, Adventure, Comedy            ","T.J. Miller, James Corden, Anna Faris, Maya Rudolph",Tony Leondis,51044,$86.09M,3.2
Star vs. the Forces of Evil,22,"    Intergalactic warrior Star Butterfly arrives on Earth to live with the Diaz family. She continues to battle villains throughout the universe and high school, mainly to protect her extremely powerful wand, an object that still confuses her.",2019,"Animation, Action, Adventure            ","Eden Sher, Adam McArthur, Grey Griffin, Daron Nefcy",,9125,,8.1
Cars 2,106,    Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,2011,"Animation, Adventure, Comedy            ","Owen Wilson, Larry the Cable Guy, Michael Caine, Emily Mortimer","Directors:John Lasseter, Bradford Lewis",145867,$191.45M,6.1
Tokyo Ghoul,24,"    A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run.",2014,"Animation, Action, Drama            ","Natsuki Hanae, Austin Tindle, Sora Amamiya, Brina Palencia",,28500,,7.9
The Boss Baby,97,"    A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",2017,"Animation, Adventure, Comedy            ","Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow",Tom McGrath,98617,$175.00M,6.3
