title,runtime,des,date,genre,cast,director,vote,gross,rating
Shot Caller,121,    A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.,2017,"Crime, Drama, Thriller            ","Nikolaj Coster-Waldau, Omari Hardwick, Lake Bell, Jon Bernthal",Ric Roman Waugh,63182,,7.3
The Hateful Eight,168,"    In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",2015,"Crime, Drama, Mystery            ","Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",Quentin Tarantino,468082,$54.12M,7.8
Top Boy,60,    Two London drug dealers ply their lucrative trade at a public housing estate in East London.,2011,"Crime, Drama, Thriller            ","Ashley Walters, Shone Romulus, Kane Robinson, Micheal Ward",,9344,,8.3
Murder on the Orient Express,114,"    When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.",2017,"Crime, Drama, Mystery            ","Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench",Kenneth Branagh,188406,$102.83M,6.5
S.W.A.T.,43,    Follows a locally born and bred S.W.A.T. sergeant who is torn between loyalty to the streets and duty to his fellow officers when he's tasked to run a highly-trained unit that's the last stop for solving crimes in Los Angeles.,2017,"Action, Adventure, Crime            ","Shemar Moore, Alex Russell, Lina Esco, Kenny Johnson",,10890,,6.9
John Wick,101,    An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.,2014,"Action, Crime, Thriller            ","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","Directors:Chad Stahelski, David Leitch",488066,$43.04M,7.4
A Simple Favor,117,"    Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",2018,"Comedy, Crime, Drama            ","Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells",Paul Feig,102709,$53.55M,6.8
American Made,115,"    The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",2017,"Action, Biography, Comedy            ","Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons",Doug Liman,142010,$51.34M,7.1
Bull,60,"    Brilliant, brash, and charming, Dr. Bull is the ultimate puppet master as he combines psychology, human intuition, and high-tech data to learn what makes jurors, attorneys, witnesses, and the accused tick.",2016,"Comedy, Crime, Drama            ","Michael Weatherly, Freddy Rodríguez, Geneva Carr, Jaime Lee Kirchner",,12829,,6.9
Drive,100,    A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor in this action drama.,2011,"Crime, Drama            ","Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",Nicolas Winding Refn,536261,$35.06M,7.8
The Punisher,53,"    After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.",2019,"Action, Adventure, Crime            ","Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore",,160835,,8.5
Barry,30,    A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.,2018,"Action, Comedy, Crime            ","Bill Hader, Stephen Root, Sarah Goldberg, Anthony Carrigan",,32162,,8.3
Line of Duty,60,    DS Steve Arnott is transferred to the police anti-corruption unit after the death of a man in a mistaken shooting during a counter-terrorist operation.,2012,"Crime, Drama, Mystery            ","Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson",,24682,,8.6
Broadchurch,48,"    The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.",2017,"Crime, Drama, Mystery            ","David Tennant, Olivia Colman, Jodie Whittaker, Andrew Buchan",,79091,,8.4
Person of Interest,43,"    An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes--including the civilians' roles--are left a mystery.",2016,"Action, Crime, Drama            ","Jim Caviezel, Taraji P. Henson, Kevin Chapman, Michael Emerson",,155831,,8.4
Blindspot,42,    Jane Doe is found in Times Square with no memory and mysterious tattoos on her body.,2015,"Action, Crime, Drama            ","Sullivan Stapleton, Jaimie Alexander, Rob Brown, Audrey Esparza",,62100,,7.4
Daredevil,54,"    A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",2018,"Action, Crime, Drama            ","Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson",,339909,,8.6
The Girl with the Dragon Tattoo,158,"    Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",2011,"Crime, Drama, Mystery            ","Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård",David Fincher,396953,$102.52M,7.8
American Crime Story,42,    An anthology series centered around America's most notorious crimes and criminals.,2016,"Biography, Crime, Drama            ","Sarah Paulson, Annaleigh Ashford, Sterling K. Brown, Kenneth Choi",,71724,,8.4
Death in Paradise,60,"    A British inspector is transferred to Saint-Marie's police department, but he hates the sun, sea and sand. The series follow his investigations into murders on the island. Later series see another British DI head the investigative team.",2011,"Comedy, Crime, Drama            ","Danny John-Jules, Elizabeth Bourgine, Don Warrington, Joséphine Jobert",,12132,,7.8
Hannibal,44,"    Explores the early relationship between the renowned psychiatrist and his patient, a young FBI criminal profiler, who is haunted by his ability to empathize with serial killers.",2015,"Crime, Drama, Horror            ","Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne",,209025,,8.5
Elementary,60,"    A modern take on the cases of Sherlock Holmes, with the detective now living in New York City.",2019,"Crime, Drama, Mystery            ","Jonny Lee Miller, Lucy Liu, Aidan Quinn, Jon Michael Hill",,96882,,7.9
Now You See Me,115,"    An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",2013,"Crime, Mystery, Thriller            ","Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson",Louis Leterrier,565478,$117.72M,7.3
Prisoners,153,"    When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",2013,"Crime, Drama, Mystery            ","Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo",Denis Villeneuve,546878,$61.00M,8.1
