title,runtime,des,date,rating,genre
Romeo + Juliet,120,    Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.,1996,6.7,"Drama, Romance            "
10,122,"    A Hollywood composer goes through a mid-life crisis and becomes infatuated with a sexy, newly married woman.",1979,6.1,"Comedy, Romance            "
Robin Hood,83,    The story of the legendary outlaw is portrayed with the characters as humanoid animals.,1973,7.6,"Animation, Adventure, Comedy            "
Walk the Line,136,"    A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",2005,7.8,"Biography, Drama, Music            "
The Notebook,123,"    A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",2004,7.8,"Drama, Romance            "
Station 19,60,"    This spinoff of the critically acclaimed show Grey's Anatomy follows the lives of the men and women of firehouse station 19 in Seattle, Washington.",2018,6.4,"Action, Drama, Romance            "
Degrassi: The Next Generation,30,    The lives of the kids at Degrassi Community School dealing with the serious and sometimes taboo issues that plague teenagers.,2015,7.3,"Drama, Romance            "
Life Itself,117,"    As a young New York City couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes.",2018,6.7,"Drama, Romance            "
The Lobster,119,"    In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",2015,7.1,"Comedy, Drama, Romance            "
Dawson's Creek,60,    Four friends in a small coastal town help each other cope with adolescence.,2003,6.6,"Drama, Romance            "
Wedding Crashers,119,"    John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",2005,6.9,"Comedy, Romance            "
Rome,90,    A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,2007,8.7,"Action, Drama, History            "
About Time,123,"    At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",2013,7.8,"Comedy, Drama, Fantasy            "
The Princess Diaries,111,"    Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.",2001,6.3,"Comedy, Family, Romance            "
Blue Is the Warmest Color,180,"    Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",2013,7.7,"Drama, Romance            "
Brokeback Mountain,134,"    The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",2005,7.7,"Drama, Romance            "
Eternal Sunshine of the Spotless Mind,108,"    When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",2004,8.3,"Drama, Romance, Sci-Fi            "
West Side Story,108,"    An adaptation of the 1957 musical, West Side Story explores forbidden love, and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",2020,0,"Crime, Drama, Musical            "
The L Word,50,"    Follows the lives and loves of a small, close-knit group of gay women living in Los Angeles as well as the friends and family members that either support or loathe them.",2009,7.6,"Drama, Romance            "
From Here to Eternity,118,"    In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.",1953,7.6,"Drama, Romance, War            "
Pearl Harbor,183,    A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,2001,6.2,"Action, Drama, History            "
The Holiday,136,"    Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.",2006,6.9,"Comedy, Romance            "
Dirty Dancing,100,"    Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle.",1987,7.0,"Drama, Music, Romance            "
Big,104,"    After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult.",1988,7.3,"Comedy, Drama, Fantasy            "
Picture a Perfect Christmas,90,    A photographer returns home to take care of her grandmother and gets involved with helping a neighbor look after his young nephew.,2019,7.1,"Drama, Romance            "
Atonement,123,"    Fledgling writer Briony Tallis, as a thirteen-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",2007,7.8,"Drama, Mystery, Romance            "
The Little Mermaid,123,    A computer-generated and live-action remake of the 1989 animated Disney movie.,0,0,"Family, Fantasy, Musical            "
Coming to America,116,"    An extremely pampered African Prince travels to Queens, New York, and goes undercover to find a wife that he can respect for her intelligence and will.",1988,7.0,"Comedy, Romance            "
Descendants 2,111,"    Mal, Evie, Carlos and Jay try to adjust to life in Auradon, but Mal becomes overwhelmed with pressure and returns to her roots.",2017,6.5,"Action, Adventure, Family            "
Passengers,116,"    A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",2016,7.0,"Drama, Romance, Sci-Fi            "
Medici,60,"    A political family drama set in Florence in the early fifteenth century. Cosimo de Medici finds himself at the helm of his banking dynasty when his father, Giovanni, dies suddenly.",2016,7.9,"Biography, Drama, History            "
Cinderella,105,"    When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",2015,6.9,"Drama, Family, Fantasy            "
Pretty Woman,119,"    A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",1990,7.0,"Comedy, Romance            "
Life Is Beautiful,116,"    When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",1997,8.6,"Comedy, Drama, Romance            "
The Curious Case of Benjamin Button,166,"    Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",2008,7.8,"Drama, Fantasy, Romance            "
Fifty Shades Freed,105,"    Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",2018,4.5,"Drama, Romance, Thriller            "
The Legend of Tarzan,110,"    Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",2016,6.2,"Action, Adventure, Drama            "
Sixteen Candles,93,"    A girl's ""sweet"" sixteenth birthday becomes anything but special, as she suffers from every embarrassment possible.",1984,7.1,"Comedy, Romance            "
Christmas Wishes & Mistletoe Kisses,84,"    Abbey, an interior decorator/designer and beautiful single mom, interior decorates a mansion including a Christmas party for the handsome, single businessman Nick.",2019,6.7,Romance            
Fifty Shades Darker,118,"    While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",2017,4.6,"Drama, Romance            "
