,pred
98,7.450730949980095
99,7.222974074757104
100,7.500977113377238
101,6.811750526893686
102,6.77778726514064
103,6.841859825350952
104,7.199261207147816
105,7.432281548706583
106,7.198761709225189
107,7.288996367061585
108,7.351429108545346
109,7.446030193528888
110,6.817467773592191
111,6.777388007563087
112,5.678873908800586
113,7.130194439178715
114,6.887925956452566
115,6.549752632545859
116,6.786999890582829
117,6.79182923223942
118,7.487310396728142
119,7.0015910685576355
120,7.640289474191227
121,7.394424445015552
122,7.533096687010954
123,6.347563852274822
124,6.738331659674616
125,6.571163482236758
126,7.40725430973496
127,6.580834126170827
128,6.802862533698618
129,7.518552700102122
130,6.728406612405789
131,6.194373840260003
132,7.303284602905311
133,6.7011713895390566
134,6.841859411159046
135,7.142053750996729
136,6.596854553509148
137,7.319757465147862
138,7.178516354703623
139,7.239923420347404
140,6.825296922213297
141,6.935327786752664
142,6.664311529697245
143,6.759516361873562
144,6.896062306792071
145,6.871304314894072
146,6.882440831171308
147,6.824814175768868
148,7.344139790004335
149,6.948594470195491
150,7.455678981746655
151,6.773822391781454
152,6.9764858884321965
153,7.28612934930305
154,7.261689130821977
155,7.208134507662454
156,7.345413729433033
157,7.334027462181689
158,5.975556350846643
159,6.946855923720736
160,6.828888687410639
161,6.920307297651394
162,6.801174284514997
163,6.804161116779913
164,7.016231977531129
165,6.81290933490504
166,6.82047097103288
167,6.818755611539696
168,4.931307344927063
169,6.800924480783745
170,7.314493002795563
171,6.728406612405789
172,6.6800462529072675
173,6.933218329816059
174,7.471283076847026
175,6.309317330307598
176,6.57754360095692
177,7.434029178282429
178,7.37070124037354
179,7.85076074093138
180,6.820812016126304
181,7.445775862137047
182,6.6795839841483735
183,6.585048099143901
184,5.896077463283676
185,7.016231977531129
186,7.5700484150672755
187,7.358971744144287
188,7.1072892905141005
189,7.485563872955072
190,7.208143571796677
191,7.367156167992415
192,7.333429260364766
193,7.483665560804521
194,7.333429260364766
195,6.8586980013391265
196,7.357346663771617
197,5.427396308774506
198,6.999916739903623
199,7.381064387611554
200,7.015542481273815
201,6.772594648779448
202,6.464657455195387
203,7.472816456374151
204,6.567081785931771
